"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","Survival","No.Lvs","WetWt","A_WetWt","B_WetWt","LogB_WetWt","sqrtB_WetWt","rankB_WetWt"
"50","Basil","1","4","2","3","7","1",2016-11-18,"0","1","1",2016-11-21,"1",2,49.17,45.79,2.92,0.593286067020457,1.84932420089069,54
"0","Basil","1","19","2","3","7","2",2016-11-18,"1","1","0",2016-11-21,"1",0,37.27,33.8,3.3,0.633468455579587,1.94935886896179,67
"50","Lettuce","1","9","5","3","7","3",2016-11-18,"1","1","0",2016-11-19,"1",2,23.58,21.57,1.75,0.439332693830263,1.5,18
"0","Lettuce","1","11","3","3","7","4",2016-11-18,"2","2","1",2016-11-21,"1",2,92.51,88.82,3.39,0.642464520242121,1.9723082923316,69
"0","Lettuce","1","14","4","3","8","1",2016-11-18,"2","2","1",2016-11-19,"1",3,132.92,127.87,4.2,0.716003343634799,2.16794833886788,86.5
"25","Basil","1","18","4","3","8","2",2016-11-18,"1","2","0",2016-11-22,"1",0,41.09,38.15,2.79,0.578639209968072,1.81383571472171,52
"50","Lettuce","1","12","4","3","8","3",2016-11-18,"1","1","0",2016-11-22,"1",2,50,48.11,1.94,0.468347330412157,1.56204993518133,23
"0","Lettuce","1","6","5","3","8","4",2016-11-18,"1","2","1",2016-11-19,"1",2,71.26,68.66,2.65,0.562292864456475,1.77482393492988,42
"50","Lettuce","1","13","4","3","9","1",2016-11-18,"1","1","0",2016-11-21,"1",2,86.59,84.2,1.96,0.471291711058939,1.56843871413581,24.5
"0","Lettuce","1","10","3","3","9","2",2016-11-18,"2","2","1",2016-11-19,"1",2,113.58,110.81,2.59,0.555094448578319,1.75783958312469,38
"25","Lettuce","1","18","4","3","9","3",2016-11-18,"1","2","1",2016-11-20,"1",2,56.39,53.37,2.68,0.565847818673518,1.7832554500127,44
"50","Basil","1","17","4","3","9","4",2016-11-21,"0","1","0",2016-11-25,"1",0,29.85,28.72,1.07,0.315970345456918,1.25299640861417,7
"0","Basil","1","16","3","3","10","1",2016-11-18,"1","1","0",2016-11-21,"1",2,62.81,53.33,6.77,0.890421018800914,2.69629375254255,115
"100","Basil","1","13",NA,"3","10","2",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,155
"0","Basil","1","5","5","3","10","3",2016-11-18,"1","2","0",2016-11-21,"1",0,30.69,26.96,3.71,0.673020907128896,2.05182845286832,79
"50","Lettuce","1","16","3","3","10","4",2016-11-18,"1","1","0",2016-11-21,"1",2,53.61,52.09,1.43,0.385606273598312,1.38924439894498,14
"0","Lettuce","1","15","4","4","1","1",2016-11-18,"2","2","1",2016-11-19,"1",3,424.48,404.01,18.96,1.30016053695135,4.41134900002256,135
"25","Lettuce","1","13","5","4","1","2",2016-11-18,"1","2","1",2016-11-20,"1",3,336.81,325.43,9.57,1.02407498730743,3.17332633052449,125
"0","Basil","1","2","1","4","1","3",2016-11-18,"2","2","1",2016-11-20,"1",2,70.08,63.24,6.62,0.881954971339601,2.66833281282527,112
"100","Basil","1","7",NA,"4","1","4",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,156
"100","Lettuce","1","9","1","4","2","1",2016-11-18,"0","1","0",2016-11-21,"1",3,207.07,196.75,8.36,0.971275848738105,2.97657521322744,122
"0","Basil","1","9","4","4","2","2",2016-11-18,"1","2","1",2016-11-20,"1",2,131.85,112.83,14.19,1.18155777386279,3.83275357934736,133
"25","Lettuce","1","10","1","4","2","3",2016-11-18,"1","2","1",2016-11-20,"1",3,358.99,343.5,13.92,1.17376882313665,3.79736750920951,132
"0","Basil","1","18","2","4","2","4",2016-11-18,"2","2","0",2016-11-23,"1",0,60.75,54.08,6.44,0.871572935545879,2.6343879744639,111
"25","Basil","1","17","4","4","3","1",2016-11-18,"1","2","0",2016-11-21,"1",2,91.49,80.91,9.24,1.01029995663981,3.12089730686545,124
"100","Basil","1","9",NA,"4","3","2",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,157
"100","Lettuce","1","20","5","4","3","3",2016-11-18,"0","1","0",2016-11-21,"1",2,174.21,169.74,3.27,0.630427875025024,1.94164878389476,64.5
"100","Lettuce","1","4","4","4","3","4",2016-11-18,"0","1","0",2016-11-21,"1",3,272.53,265.62,5.46,0.810232517995084,2.44131112314674,104
"0","Lettuce","1","19","1","4","4","1",2016-11-18,"2","2","1",2016-11-20,"1",3,397.28,382.77,10.33,1.0542299098634,3.29089653438087,127
"25","Lettuce","1","9","1","4","4","2",2016-11-18,"1","2","1",2016-11-23,"1",2,49.69,47.78,1.3,0.361727836017593,1.34164078649987,11
"50","Lettuce","1","20","2","4","4","3",2016-11-18,"1","1","0",2016-11-20,"1",3,248.54,241.79,5.63,0.821513528404773,2.47588368062799,106
"25","Basil","1","8","2","4","4","4",2016-11-18,"0","1","0",2016-11-23,"1",0,49.45,46.28,2.72,0.570542939881898,1.79443584449264,46
"100","Lettuce","1","1","4","4","5","1",2016-11-18,"0","1","0",2016-11-20,"1",3,319.58,308.09,9.75,1.03140846425162,3.20156211871642,126
"0","Basil","1","17","2","4","5","2",2016-11-18,"1","2","1",2016-11-21,"1",2,101.64,91.72,8.78,0.990338854787601,3.04630924234556,123
"100","Basil","1","11",NA,"4","5","3",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,158
"0","Lettuce","1","3","2","4","5","4",2016-11-18,"2","2","1",2016-11-20,"1",3,293.15,281.75,10.46,1.05918461763137,3.31058907144937,129
"100","Lettuce","1","7","3","4","6","1",2016-11-18,"0","1","0",2016-11-21,"1",3,272.28,262.4,8.26,0.966610986681934,2.95972971738975,121
"0","Basil","1","14","3","4","6","2",2016-11-18,"1","1","0",2016-11-24,"1",0,45.24,42.22,2.74,0.57287160220048,1.8,48.5
"25","Basil","1","10","1","4","6","3",2016-11-18,"0","1","0",2016-11-21,"1",2,85.1,79.3,5.22,0.793790384690819,2.39165214862028,100
"100","Basil","1","2",NA,"4","6","4",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,159
"25","Basil","1","1","3","4","7","1",2016-11-18,"1","2","0",2016-11-22,"1",0,61.21,53.46,6.74,0.888740960682893,2.69072480941474,114
"50","Lettuce","1","19","3","4","7","2",2016-11-18,"1","1","0",2016-11-21,"1",3,211.25,202.06,7.73,0.94101424370557,2.86879765755621,119
"50","Basil","1","16","4","4","7","3",2016-11-21,"0","1","0",2016-11-24,"1",0,38.08,33.73,3.87,0.687528961214634,2.09045449603669,82
"25","Lettuce","1","5","2","4","7","4",2016-11-18,"1","2","1",2016-11-20,"1",3,194.21,188.08,4.93,0.773054693364263,2.33023603954621,94
"50","Basil","1","20","4","4","8","1",2016-11-21,"0","1","0",2016-11-24,"1",0,60.88,55.95,4.37,0.729974285699556,2.20680764907139,89.5
"25","Lettuce","1","7","2","4","8","2",2016-11-18,"1","2","1",2016-11-21,"1",3,182.7,174.32,7.21,0.914343157119441,2.77668867538296,117
"25","Basil","1","20","4","4","8","3",2016-11-18,"1","2","0",2016-11-21,"1",0,55.1,50.76,3.27,0.630427875025024,1.94164878389476,64.5
"25","Lettuce","1","14","5","4","8","4",2016-11-18,"1","2","1",2016-11-20,"1",3,266.34,257.18,7.71,0.940018155007663,2.86530975637888,118
"50","Basil","1","10","3","4","9","1",2016-11-18,"0","1","0",2016-11-28,"1",0,9.6,9.57,0.09,0.0374264979406237,0.768114574786861,1
"100","Lettuce","1","14","2","4","9","2",2016-11-18,"0","1","0",2016-11-21,"1",2,197.94,191.44,5.28,0.797959643737196,2.40416305603426,102
"25","Lettuce","1","16","5","4","9","3",2016-11-18,"1","2","1",2016-11-19,"1",3,214.37,207.76,5.71,0.826722520168992,2.49198715887542,107
"100","Basil","1","14",NA,"4","9","4",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,160
"100","Lettuce","1","16","2","4","10","1",2016-11-18,"0","1","0",2016-11-21,"1",3,261.63,253.37,6.65,0.883661435153618,2.67394839142419,113
"50","Basil","1","6","5","4","10","2",2016-11-18,"0","1","0",2016-11-21,"1",2,83.62,79.04,4.2,0.716003343634799,2.16794833886788,86.5
"100","Lettuce","1","11","1","4","10","3",2016-11-18,"0","1","1",2016-11-21,"1",2,138.01,134.67,2.62,0.558708570533166,1.76635217326557,40
"25","Lettuce","1","20","4","4","10","4",2016-11-18,"1","2","1",2016-11-20,"1",2,145.26,141.09,3.32,0.635483746814912,1.95448202856921,68
