"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"0","Basil","1","7","5","3","5","3",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",0,40.01,36.44,2.96,18,"A",NA,"9354"
"50","Basil","1","15","2","3","5","4",2016-11-21,"0","1","0",2016-11-28,7,"1","02-Dec-16",0,11.59,7.95,3.14,18,"B",NA,"9354"
"25","Basil","1","16","5","3","6","3",2016-11-18,"0","2","0",2016-11-21,3,"1","02-Dec-16",0,42.15,39.31,2.56,18,"C",NA,"9354"
"0","Basil","1","4","1","3","6","4",2016-11-18,"2","2","0",2016-11-22,4,"1","02-Dec-16",0,13.41,12.23,1.16,18,"D",NA,"9354"
"50","Lettuce","1","9","5","3","7","3",2016-11-18,"1","1","0",2016-11-19,1,"1","02-Dec-16",2,23.58,21.57,1.75,19,"A",NA,"9355"
"0","Lettuce","1","11","3","3","7","4",2016-11-18,"2","2","1",2016-11-21,3,"1","02-Dec-16",2,92.51,88.82,3.39,19,"B",NA,"9355"
"50","Lettuce","1","12","4","3","8","3",2016-11-18,"1","1","0",2016-11-22,4,"1","02-Dec-16",2,50,48.11,1.94,19,"C",NA,"9355"
"0","Lettuce","1","6","5","3","8","4",2016-11-18,"1","2","1",2016-11-19,1,"1","02-Dec-16",2,71.26,68.66,2.65,19,"D",NA,"9355"
"25","Lettuce","1","18","4","3","9","3",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,56.39,53.37,2.68,20,"A",NA,"9356"
"50","Basil","1","17","4","3","9","4",2016-11-21,"0","1","0",2016-11-25,4,"1","02-Dec-16",0,29.85,28.72,1.07,20,"B",NA,"9356"
"0","Basil","1","5","5","3","10","3",2016-11-18,"1","2","0",2016-11-21,3,"1","02-Dec-16",0,30.69,26.96,3.71,20,"C",NA,"9356"
"50","Lettuce","1","16","3","3","10","4",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",2,53.61,52.09,1.43,20,"D",NA,"9356"
"0","Lettuce","1","15","4","4","1","1",2016-11-18,"2","2","1",2016-11-19,1,"1","05-Dec-16",3,424.48,404.01,18.96,1,"A",NA,"9362"
"25","Lettuce","1","13","5","4","1","2",2016-11-18,"1","2","1",2016-11-20,2,"1","05-Dec-16",3,336.81,325.43,9.57,1,"B",NA,"9362"
"100","Lettuce","1","9","1","4","2","1",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",3,207.07,196.75,8.36,1,"C",NA,"9362"
"0","Basil","1","9","4","4","2","2",2016-11-18,"1","2","1",2016-11-20,2,"1","05-Dec-16",2,131.85,112.83,14.19,1,"D",NA,"9362"
"25","Basil","1","17","4","4","3","1",2016-11-18,"1","2","0",2016-11-21,3,"1","05-Dec-16",2,91.49,80.91,9.24,2,"A",NA,"9363"
"0","Lettuce","1","19","1","4","4","1",2016-11-18,"2","2","1",2016-11-20,2,"1","05-Dec-16",3,397.28,382.77,10.33,2,"B",NA,"9363"
"25","Lettuce","1","9","1","4","4","2",2016-11-18,"1","2","1",2016-11-23,5,"1","05-Dec-16",2,49.69,47.78,1.3,2,"C",NA,"9363"
"100","Lettuce","1","1","4","4","5","1",2016-11-18,"0","1","0",2016-11-20,2,"1","05-Dec-16",3,319.58,308.09,9.75,3,"A",NA,"9364"
"0","Basil","1","17","2","4","5","2",2016-11-18,"1","2","1",2016-11-21,3,"1","05-Dec-16",2,101.64,91.72,8.78,3,"B",NA,"9364"
"100","Lettuce","1","7","3","4","6","1",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",3,272.28,262.4,8.26,3,"C",NA,"9364"
"0","Basil","1","14","3","4","6","2",2016-11-18,"1","1","0",2016-11-24,6,"1","05-Dec-16",0,45.24,42.22,2.74,3,"D",NA,"9364"
"25","Basil","1","1","3","4","7","1",2016-11-18,"1","2","0",2016-11-22,4,"1","05-Dec-16",0,61.21,53.46,6.74,4,"A",NA,"9365"
"50","Lettuce","1","19","3","4","7","2",2016-11-18,"1","1","0",2016-11-21,3,"1","05-Dec-16",3,211.25,202.06,7.73,4,"B",NA,"9365"
"50","Basil","1","20","4","4","8","1",2016-11-21,"0","1","0",2016-11-24,3,"1","05-Dec-16",0,60.88,55.95,4.37,4,"C",NA,"9365"
"25","Lettuce","1","7","2","4","8","2",2016-11-18,"1","2","1",2016-11-21,3,"1","05-Dec-16",3,182.7,174.32,7.21,4,"D",NA,"9365"
"50","Basil","1","10","3","4","9","1",2016-11-18,"0","1","0",2016-11-28,10,"1","05-Dec-16",0,9.6,9.57,0.09,5,"A",NA,"9366"
"100","Lettuce","1","14","2","4","9","2",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",2,197.94,191.44,5.28,5,"B",NA,"9366"
"100","Lettuce","1","16","2","4","10","1",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",3,261.63,253.37,6.65,5,"C",NA,"9366"
"50","Basil","1","6","5","4","10","2",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",2,83.62,79.04,4.2,5,"D",NA,"9366"
"0","Basil","1","2","1","4","1","3",2016-11-18,"2","2","1",2016-11-20,2,"1","05-Dec-16",2,70.08,63.24,6.62,6,"A",NA,"9367"
"25","Lettuce","1","10","1","4","2","3",2016-11-18,"1","2","1",2016-11-20,2,"1","05-Dec-16",3,358.99,343.5,13.92,6,"B",NA,"9367"
"0","Basil","1","18","2","4","2","4",2016-11-18,"2","2","0",2016-11-23,5,"1","05-Dec-16",0,60.75,54.08,6.44,6,"C",NA,"9367"
