"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"10NaCl","Basil","2","4",NA,"4","3","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"10","Basil","2","4",NA,"4","3","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"Hoag","Basil","2","12",NA,"4","3","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25NaCl","Basil","2","6",NA,"4","4","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25NaCl","Lettuce","2","14",NA,"4","4","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","7",NA,"4","4","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"Hoag","Basil","2","3",NA,"4","4","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"50NaCl","Lettuce","2","13",NA,"4","5","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","19",NA,"4","5","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Lettuce","2","4",NA,"4","5","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"100NaCl","Basil","2","19",NA,"4","5","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5NaCl","Lettuce","2","6",NA,"4","6","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5NaCl","Basil","2","7",NA,"4","6","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"Hoag","Basil","2","13",NA,"4","6","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25","Lettuce","2","18",NA,"4","6","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"100NaCl","Lettuce","2","13",NA,"4","7","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"50NaCl","Lettuce","2","6",NA,"4","7","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
